Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
Ralgps2,ENSMUST00000172057.2,Ral GEF with PH domain and SH3 binding motif 2 ,489,1,0,1,0,2,1,1,0,4,mmu-miR-200a-3p,-0.28,-0.61,0.56,"2009, 2011
"
Bclaf1,ENSMUST00000092678.4,BCL2-associated transcription factor 1 ,3600,1,0,1,0,1,0,1,0,2,mmu-miR-200a-3p,-0.28,-0.35,0.37,"2007, 2009, 2011
"
Tbx4,ENSMUST00000000096.6,T-box 4 ,846,1,1,0,0,0,0,0,0,3,mmu-miR-141-3p,-0.28,-0.28,0.27,"2005, 2007, 2009, 2011
"
Plcxd3,ENSMUST00000061925.4,"phosphatidylinositol-specific phospholipase C, X domain containing 3 ",54,1,0,0,1,3,0,3,0,1,mmu-miR-141-3p,-0.28,-0.3,0.34,"2005, 2007, 2009, 2011
"
St3gal3,ENSMUST00000030263.3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3 ",1920,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.28,-0.28,0.37,"2005, 2007, 2009, 2011
"
Zbtb34,ENSMUST00000113158.2,zinc finger and BTB domain containing 34 ,575,4,2,2,0,1,0,1,0,1,mmu-miR-141-3p,-0.28,-0.29,0.95,"2009, 2011
"
Peak1,ENSMUST00000188142.1,pseudopodium-enriched atypical kinase 1 ,241,1,0,1,0,1,0,0,1,2,mmu-miR-200a-3p,-0.28,-0.3,0.37,"2009, 2011
"
Src,ENSMUST00000029175.8,Rous sarcoma oncogene ,1288,1,0,1,0,2,0,2,0,0,mmu-miR-141-3p,-0.28,-0.41,0.6,"2005, 2007, 2009, 2011
"
Slc16a7,ENSMUST00000063318.3,"solute carrier family 16 (monocarboxylic acid transporters), member 7 ",330,1,0,1,0,1,1,0,0,2,mmu-miR-200a-3p,-0.28,-0.34,0.37,"
"
Dcp2,ENSMUST00000025350.8,DCP2 decapping enzyme homolog (S. cerevisiae) ,434,2,0,2,0,1,0,0,1,2,mmu-miR-141-3p,-0.28,-0.32,0.6,"2005, 2007, 2009, 2011
"
Cdk8,ENSMUST00000031640.9,cyclin-dependent kinase 8 ,24,1,0,1,0,0,0,0,0,2,mmu-miR-141-3p,-0.28,-0.28,0.37,"2009, 2011
"
Abl2,ENSMUST00000166172.3,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene) ",860,1,1,0,0,1,0,1,0,2,mmu-miR-141-3p,-0.28,-0.28,0.82,"2009, 2011
"
Fgfr1op,ENSMUST00000097419.4,Fgfr1 oncogene partner ,776,1,1,0,0,1,0,1,0,0,mmu-miR-200a-3p,-0.28,-0.44,0.46,"2007, 2009, 2011
"
Upk3b,ENSMUST00000062606.6,uroplakin 3B ,790,1,1,0,0,0,0,0,0,2,mmu-miR-141-3p,-0.28,-0.28,0.39,"2009, 2011
"
4930503L19Rik,ENSMUST00000067556.3,RIKEN cDNA 4930503L19 gene ,850,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.28,-0.28,< 0.1,"
"
Aktip,ENSMUST00000120349.2,thymoma viral proto-oncogene 1 interacting protein ,2485,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.27,-0.3,0.37,"2007, 2009, 2011
"
Bhlhe40,ENSMUST00000032194.5,"basic helix-loop-helix family, member e40 ",1556,1,0,1,0,0,0,0,0,0,mmu-miR-200a-3p,-0.27,-0.29,0.37,"2007, 2009, 2011
"
Thrb,ENSMUST00000091471.5,thyroid hormone receptor beta ,358,1,1,0,0,1,0,1,0,1,mmu-miR-141-3p,-0.27,-0.29,0.89,"2007, 2009, 2011
"
Hs2st1,ENSMUST00000043325.7,heparan sulfate 2-O-sulfotransferase 1 ,972,2,0,1,1,1,0,1,0,2,mmu-miR-141-3p,-0.27,-0.46,0.58,"2005, 2007, 2009, 2011
"
Pcf11,ENSMUST00000119954.2,cleavage and polyadenylation factor subunit homolog (S. cerevisiae) ,1951,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.27,-0.29,0.37,"2005, 2007, 2011
"
Cdv3,ENSMUST00000116517.3,carnitine deficiency-associated gene expressed in ventricle 3 ,133,1,0,1,0,1,0,0,1,1,mmu-miR-141-3p,-0.27,-0.46,0.37,"2007, 2009, 2011
"
Sdf2,ENSMUST00000002133.8,stromal cell derived factor 2 ,152,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.27,-0.27,0.37,"2007, 2009, 2011
"
Fam168b,ENSMUST00000167518.2,"family with sequence similarity 168, member B ",808,1,1,0,0,1,0,1,0,3,mmu-miR-141-3p,-0.27,-0.36,0.7,"2007, 2009, 2011
"
Calcr,ENSMUST00000171613.2,calcitonin receptor ,36,1,1,0,0,1,0,0,1,1,mmu-miR-141-3p,-0.27,-0.27,< 0.1,"2005, 2007, 2009, 2011
"
Myadm,ENSMUST00000164553.2,myeloid-associated differentiation marker ,607,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.27,-0.28,0.13,"2007, 2009, 2011
"
Syt4,ENSMUST00000025110.3,synaptotagmin IV ,20,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.27,-0.29,0.37,"2005, 2007, 2009, 2011
"
Nrp1,ENSMUST00000026917.8,neuropilin 1 ,2108,2,1,1,0,2,0,1,1,1,mmu-miR-141-3p,-0.27,-0.3,0.89,"2005, 2007, 2011
"
Prkacb,ENSMUST00000102515.4,"protein kinase, cAMP dependent, catalytic, beta ",149,2,1,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.27,-0.27,0.58,"2005, 2007, 2009, 2011
"
Csnk1e,ENSMUST00000117786.2,"casein kinase 1, epsilon ",2593,1,0,1,0,1,0,1,0,1,mmu-miR-141-3p,-0.27,-0.27,0.37,"2005, 2007, 2009, 2011
"
Dlc1,ENSMUST00000033923.8,deleted in liver cancer 1 ,612,1,0,1,0,2,0,2,0,0,mmu-miR-141-3p,-0.27,-0.34,0.74,"2005, 2007, 2009, 2011
"
Mybl1,ENSMUST00000088658.5,myeloblastosis oncogene-like 1 ,372,1,1,0,0,1,0,1,0,0,mmu-miR-141-3p,-0.27,-0.27,0.77,"2007, 2009, 2011
"
Nckap5,ENSMUST00000094609.4,NCK-associated protein 5 ,81,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.26,-0.32,0.72,"2007, 2009, 2011
"
Mbnl3,ENSMUST00000114875.2,muscleblind-like 3 (Drosophila) ,131,2,0,1,1,2,0,1,1,6,mmu-miR-141-3p,-0.26,-0.52,0.74,"2005, 2007, 2009, 2011
"
Strn,ENSMUST00000145910.3,"striatin, calmodulin binding protein ",522,1,0,1,0,2,0,2,0,2,mmu-miR-141-3p,-0.26,-0.28,0.6,"2005, 2007, 2009, 2011
"
Nampt,ENSMUST00000020886.7,nicotinamide phosphoribosyltransferase ,10882,1,0,1,0,2,1,1,0,0,mmu-miR-141-3p,-0.26,-0.38,0.37,"2007, 2009, 2011
"
March7,ENSMUST00000102748.5,membrane-associated ring finger (C3HC4) 7 ,4024,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.26,-0.26,0.37,"2005, 2007
"
March1,ENSMUST00000110255.2,membrane-associated ring finger (C3HC4) 1 ,57,1,0,1,0,2,0,2,0,0,mmu-miR-141-3p,-0.26,-0.27,0.37,"2009, 2011
"
4933411K20Rik,ENSMUST00000034048.7,RIKEN cDNA 4933411K20 gene ,185,2,0,2,0,1,0,0,1,0,mmu-miR-200a-3p,-0.26,-0.27,0.6,"2009, 2011
"
Rab38,ENSMUST00000107256.2,"RAB38, member RAS oncogene family ",77,1,0,1,0,2,0,2,0,0,mmu-miR-141-3p,-0.26,-0.46,0.37,"2005, 2007, 2009, 2011
"
Ppef1,ENSMUST00000071204.6,protein phosphatase with EF hand calcium-binding domain 1 ,14,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.26,-0.26,< 0.1,"2005, 2007, 2009, 2011
"
Serpinh1,ENSMUST00000169437.2,"serine (or cysteine) peptidase inhibitor, clade H, member 1 ",8538,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.26,-0.26,0.37,"2005, 2007, 2009, 2011
"
Atp8a2,ENSMUST00000080368.6,"ATPase, aminophospholipid transporter-like, class I, type 8A, member 2 ",166,1,1,0,0,1,0,1,0,0,mmu-miR-141-3p,-0.26,-0.31,0.48,"2005, 2007, 2009, 2011
"
Kcnc2,ENSMUST00000092175.2,"potassium voltage gated channel, Shaw-related subfamily, member 2 ",28,1,0,1,0,1,0,1,0,1,mmu-miR-200a-3p,-0.26,-0.26,0.37,"2005, 2007, 2009, 2011
"
Atf5,ENSMUST00000107893.2,activating transcription factor 5 ,126,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.25,-0.27,0.37,"2005, 2007, 2009, 2011
"
Lgalsl,ENSMUST00000047028.8,"lectin, galactoside binding-like ",274,1,0,1,0,1,1,0,0,0,mmu-miR-141-3p,-0.25,-0.36,0.37,"2009, 2011
"
Hoxc13,ENSMUST00000001700.6,homeobox C13 ,5,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.25,-0.25,0.37,"2005, 2007, 2009, 2011
"
Agfg2,ENSMUST00000031736.10,ArfGAP with FG repeats 2 ,177,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.25,-0.25,0.37,"2007, 2009, 2011
"
Epn1,ENSMUST00000098845.4,epsin 1 ,3589,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.25,-0.25,0.37,"2005, 2007, 2009, 2011
"
Tcf12,ENSMUST00000183404.2,transcription factor 12 ,197,2,1,0,1,0,0,0,0,0,mmu-miR-141-3p,-0.25,-0.33,0.64,"2005, 2007, 2009, 2011
"
Lpar1,ENSMUST00000055018.5,lysophosphatidic acid receptor 1 ,1273,1,0,1,0,1,1,0,0,1,mmu-miR-141-3p,-0.25,-0.42,0.37,"2009, 2011
"
E2f3,ENSMUST00000102948.4,E2F transcription factor 3 ,287,2,1,1,0,0,0,0,0,1,mmu-miR-200a-3p,-0.25,-0.31,0.86,"2005, 2007, 2009, 2011
"
Tmem168,ENSMUST00000031554.3,transmembrane protein 168 ,2114,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.25,-0.26,0.37,"2007, 2009, 2011
"
Sfpq,ENSMUST00000030623.7,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated) ,6136,1,0,1,0,3,0,3,0,0,mmu-miR-141-3p,-0.25,-0.4,0.67,"2005, 2007, 2009, 2011
"
Tmem18,ENSMUST00000057151.8,transmembrane protein 18 ,2031,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.25,-0.26,< 0.1,"2009, 2011
"
Sirt1,ENSMUST00000120239.2,sirtuin 1 ,909,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.25,-0.26,0.37,"2005, 2007, 2009, 2011
"
Npas3,ENSMUST00000101432.2,neuronal PAS domain protein 3 ,17,1,1,0,0,1,0,0,1,1,mmu-miR-141-3p,-0.25,-0.25,0.72,"2009, 2011
"
Dact3,ENSMUST00000108493.1,"dapper homolog 3, antagonist of beta-catenin (xenopus) ",288,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.25,-0.25,< 0.1,"2007, 2009, 2011
"
Adpgk,ENSMUST00000026266.7,ADP-dependent glucokinase ,749,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.25,-0.25,0.12,"2005, 2007, 2009, 2011
"
Harbi1,ENSMUST00000090608.5,harbinger transposase derived 1 ,146,1,1,0,0,2,0,2,0,1,mmu-miR-141-3p,-0.25,-0.34,0.71,"2007, 2009, 2011
"
Olig3,ENSMUST00000053225.5,oligodendrocyte transcription factor 3 ,9,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.24,-0.24,0.37,"2005, 2007, 2009, 2011
"
Epha7,ENSMUST00000029964.6,Eph receptor A7 ,41,1,1,0,0,1,0,0,1,2,mmu-miR-141-3p,-0.24,-0.34,0.74,"2005, 2007, 2009, 2011
"
Gja1,ENSMUST00000068581.7,"gap junction protein, alpha 1 ",1887,1,0,1,0,2,0,2,0,1,mmu-miR-200a-3p,-0.24,-0.36,0.37,"2005, 2007, 2009, 2011
"
Pds5b,ENSMUST00000016569.5,"PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae) ",1914,1,0,1,0,2,0,2,0,1,mmu-miR-141-3p,-0.24,-0.3,0.37,"2007, 2009, 2011
"
C230062I16Rik,ENSMUST00000077142.2,RIKEN cDNA C230062I16 gene ,8,1,1,0,0,1,0,1,0,0,mmu-miR-141-3p,-0.24,-0.24,< 0.1,"
"
Pitx2,ENSMUST00000029657.10,paired-like homeodomain transcription factor 2 ,47,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.24,-0.24,0.37,"2005, 2007, 2009, 2011
"
Lmbr1,ENSMUST00000055195.5,limb region 1 ,352,1,0,1,0,1,0,1,0,1,mmu-miR-141-3p,-0.24,-0.24,0.6,"2007, 2009, 2011
"
Atxn1,ENSMUST00000180110.2,ataxin 1 ,414,4,1,3,0,1,0,0,1,1,mmu-miR-141-3p,-0.24,-0.25,0.87,"2005, 2007, 2009, 2011
"
Tram1,ENSMUST00000027068.5,translocating chain-associating membrane protein 1 ,2880,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.24,-0.27,0.37,"2005, 2007, 2009, 2011
"
Cdk13,ENSMUST00000042365.7,cyclin-dependent kinase 13 ,532,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.24,-0.25,0.82,"2007, 2009, 2011
"
Zfp644,ENSMUST00000112696.2,zinc finger protein 644 ,601,1,1,0,0,0,0,0,0,5,mmu-miR-200a-3p,-0.24,-0.25,0.82,"2009, 2011
"
Cep120,ENSMUST00000049811.6,centrosomal protein 120 ,231,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.24,-0.24,0.37,"2007, 2009, 2011
"
Lmo3,ENSMUST00000162772.2,LIM domain only 3 ,6,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.23,-0.23,0.37,"2005, 2007, 2009, 2011
"
Phyhipl,ENSMUST00000046513.4,phytanoyl-CoA hydroxylase interacting protein-like ,127,1,1,0,0,0,0,0,0,0,mmu-miR-200a-3p,-0.23,-0.45,0.64,"2005, 2007, 2009, 2011
"
Gmps,ENSMUST00000029405.7,guanine monophosphate synthetase ,941,1,1,0,0,3,1,2,0,2,mmu-miR-141-3p,-0.23,-0.24,0.61,"2009, 2011
"
Gbp7,ENSMUST00000171263.2,guanylate binding protein 7 ,188,1,1,0,0,1,0,0,1,0,mmu-miR-141-3p,-0.23,-0.23,0.72,"2009, 2011
"
Stxbp1,ENSMUST00000077458.4,syntaxin binding protein 1 ,1412,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.23,-0.25,0.37,"2005, 2007, 2009, 2011
"
Gpr137c,ENSMUST00000146150.1,G protein-coupled receptor 137C ,55,2,0,2,0,0,0,0,0,1,mmu-miR-141-3p,-0.23,-0.26,0.6,"2009, 2011
"
Srp72,ENSMUST00000101087.4,signal recognition particle 72 ,4585,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.23,-0.26,0.6,"2005, 2007, 2009, 2011
"
Hmgb1,ENSMUST00000085546.7,high mobility group box 1 ,102,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.23,-0.23,0.37,"2005, 2007, 2009, 2011
"
Zfp36,ENSMUST00000051241.5,zinc finger protein 36 ,247,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.23,-0.23,0.37,"2005, 2007, 2009, 2011
"
Gna13,ENSMUST00000020930.8,"guanine nucleotide binding protein, alpha 13 ",1286,2,1,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.23,-0.27,0.86,"2005, 2007, 2009, 2011
"
Etnk1,ENSMUST00000032413.4,ethanolamine kinase 1 ,4276,1,1,0,0,2,0,2,0,3,mmu-miR-200a-3p,-0.23,-0.24,0.63,"2005, 2007, 2011
"
Tiam1,ENSMUST00000114122.2,T cell lymphoma invasion and metastasis 1 ,22,1,1,0,0,1,0,1,0,0,mmu-miR-141-3p,-0.23,-0.23,0.68,"2007, 2009, 2011
"
Kpna3,ENSMUST00000022496.7,karyopherin (importin) alpha 3 ,4861,1,0,1,0,1,0,0,1,2,mmu-miR-141-3p,-0.23,-0.25,0.37,"2005, 2007, 2011
"
Cdk19,ENSMUST00000044672.5,cyclin-dependent kinase 19 ,686,1,1,0,0,0,0,0,0,2,mmu-miR-141-3p,-0.23,-0.24,< 0.1,"2007, 2009, 2011
"
Ctbp2,ENSMUST00000169570.2,C-terminal binding protein 2 ,721,1,1,0,0,1,1,0,0,1,mmu-miR-141-3p,-0.23,-0.26,0.72,"2005, 2007, 2009, 2011
"
Snx9,ENSMUST00000002436.9,sorting nexin 9 ,4466,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.23,-0.23,0.37,"2005, 2007
"
Sass6,ENSMUST00000029571.8,spindle assembly 6 homolog (C. elegans) ,218,1,0,0,1,1,1,0,0,1,mmu-miR-141-3p,-0.23,-0.42,0.34,"2007, 2009, 2011
"
Cdc14a,ENSMUST00000090464.5,CDC14 cell division cycle 14A ,36,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.23,-0.23,0.77,"2005, 2007, 2009, 2011
"
Siah1a,ENSMUST00000045296.4,seven in absentia 1A ,19,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.23,-0.23,0.37,"2009, 2011
"
Prtg,ENSMUST00000055535.8,protogenin homolog (Gallus gallus) ,11,2,0,1,1,1,0,1,0,0,mmu-miR-200a-3p,-0.23,-0.23,0.58,"2009, 2011
"
Rgs17,ENSMUST00000131996.2,regulator of G-protein signaling 17 ,38,3,1,1,1,2,0,1,1,3,mmu-miR-141-3p,-0.23,-0.28,0.58,2011
Has2,ENSMUST00000050544.7,hyaluronan synthase 2 ,20,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.23,-0.33,0.37,"2005, 2007, 2009, 2011
"
Cd47,ENSMUST00000084838.7,"CD47 antigen (Rh-related antigen, integrin-associated signal transducer) ",1826,2,0,2,0,1,0,1,0,1,mmu-miR-141-3p,-0.22,-0.25,0.75,"2005, 2007
"
Rasa2,ENSMUST00000034984.7,RAS p21 protein activator 2 ,96,1,0,1,0,1,0,0,1,0,mmu-miR-200a-3p,-0.22,-0.26,0.37,"2009, 2011
"
Gpr12,ENSMUST00000036211.6,G-protein coupled receptor 12 ,5,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.22,-0.22,0.37,"2009, 2011
"
Ralgps1,ENSMUST00000042615.7,Ral GEF with PH domain and SH3 binding motif 1 ,213,1,1,0,0,2,0,2,0,1,mmu-miR-141-3p,-0.22,-0.23,< 0.1,"2005, 2007
"
Adipor2,ENSMUST00000032272.7,adiponectin receptor 2 ,2137,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.22,-0.24,< 0.1,"2005, 2007, 2009, 2011
"
Arhgap24,ENSMUST00000073302.6,Rho GTPase activating protein 24 ,192,1,0,0,1,2,0,2,0,0,mmu-miR-141-3p,-0.22,-0.24,0.34,"2005, 2007, 2009, 2011
"
Glrx,ENSMUST00000022082.7,glutaredoxin ,2647,1,0,1,0,1,0,1,0,1,mmu-miR-141-3p,-0.22,-0.38,0.58,"2005, 2007, 2009, 2011
"
Adrb1,ENSMUST00000038949.4,"adrenergic receptor, beta 1 ",177,1,1,0,0,0,0,0,0,2,mmu-miR-141-3p,-0.22,-0.22,0.56,"2007, 2009, 2011
"
Tspan4,ENSMUST00000026585.8,tetraspanin 4 ,5489,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.22,-0.22,0.37,"2005, 2007, 2009, 2011
"
Slain2,ENSMUST00000144843.2,"SLAIN motif family, member 2 ",1502,1,0,1,0,1,1,0,0,1,mmu-miR-141-3p,-0.22,-0.29,0.37,"2009, 2011
"
BC007180,ENSMUST00000189969.1,cDNA sequence BC007180 ,65,1,0,1,0,2,0,2,0,3,mmu-miR-200a-3p,-0.22,-0.28,0.37,"
"
Atxn7,ENSMUST00000022257.2,ataxin 7 ,414,1,1,0,0,1,0,0,1,2,mmu-miR-141-3p,-0.22,-0.22,0.72,"2005, 2007, 2009, 2011
"
Acvr2a,ENSMUST00000063886.3,activin receptor IIA ,293,2,0,2,0,2,0,2,0,1,mmu-miR-141-3p,-0.22,-0.5,0.83,"2007, 2009, 2011
"
Slc39a9,ENSMUST00000085245.5,"solute carrier family 39 (zinc transporter), member 9 ",1215,1,0,1,0,3,0,2,1,0,mmu-miR-141-3p,-0.22,-0.26,0.37,"2005, 2007, 2011
"
Tfap2c,ENSMUST00000030391.3,"transcription factor AP-2, gamma ",13,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.22,-0.32,< 0.1,"2005, 2007, 2009, 2011
"
Ywhag,ENSMUST00000055808.5,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide ",573,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.22,-0.26,0.82,"2005, 2007, 2009, 2011
"
Tnks2,ENSMUST00000025729.6,"tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2 ",2827,1,0,1,0,1,0,1,0,3,mmu-miR-141-3p,-0.22,-0.31,0.37,"2005, 2007, 2011
"
Zbtb20,ENSMUST00000114694.3,zinc finger and BTB domain containing 20 ,293,4,1,3,0,2,0,1,1,2,mmu-miR-200a-3p,-0.22,-0.27,0.81,"
"
Pten,ENSMUST00000013807.7,phosphatase and tensin homolog ,1182,2,0,1,1,2,0,2,0,1,mmu-miR-141-3p,-0.22,-0.47,0.74,"2007, 2009, 2011
"
Ppp2ca,ENSMUST00000020608.2,"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform ",12540,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.22,-0.22,0.37,"2005, 2007, 2009, 2011
"
Pou3f3,ENSMUST00000054883.3,"POU domain, class 3, transcription factor 3 ",71,1,0,1,0,2,0,2,0,1,mmu-miR-141-3p,-0.22,-0.25,0.6,"2009, 2011
"
Rph3al,ENSMUST00000121287.2,rabphilin 3A-like (without C2 domains) ,193,1,0,1,0,1,1,0,0,0,mmu-miR-141-3p,-0.22,-0.22,0.37,"2005, 2007
"
Ywhaz,ENSMUST00000022894.8,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide ",3267,1,1,0,0,1,0,0,1,0,mmu-miR-141-3p,-0.22,-0.31,0.81,"2005, 2007, 2009, 2011
"
Rpgr,ENSMUST00000115533.2,retinitis pigmentosa GTPase regulator ,378,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.21,-0.21,0.37,"2005, 2007, 2009, 2011
"
Enoph1,ENSMUST00000169390.2,enolase-phosphatase 1 ,1024,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.21,< 0.1,"2007, 2009, 2011
"
Stat5b,ENSMUST00000107358.3,signal transducer and activator of transcription 5B ,263,1,0,1,0,1,0,0,1,0,mmu-miR-200a-3p,-0.21,-0.27,0.37,"2005, 2007, 2009, 2011
"
Spag9,ENSMUST00000041956.8,sperm associated antigen 9 ,2289,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.21,0.59,"2005, 2007, 2009, 2011
"
Kcng3,ENSMUST00000051482.1,"potassium voltage-gated channel, subfamily G, member 3 ",28,1,1,0,0,2,0,2,0,1,mmu-miR-141-3p,-0.21,-0.23,< 0.1,"2005, 2007, 2009, 2011
"
Ampd2,ENSMUST00000102638.2,adenosine monophosphate deaminase 2 ,30,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.23,0.37,"2005, 2007, 2009, 2011
"
Tcerg1,ENSMUST00000025375.8,transcription elongation regulator 1 (CA150) ,1932,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.21,0.81,"2005, 2007, 2009, 2011
"
Khdrbs2,ENSMUST00000027226.6,"KH domain containing, RNA binding, signal transduction associated 2 ",7,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.21,0.37,"2005, 2007
"
Sept7,ENSMUST00000115272.3,septin 7 ,7116,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.21,0.37,"2005, 2007, 2009, 2011
"
Egr2,ENSMUST00000048289.8,early growth response 2 ,23,1,0,0,1,1,1,0,0,0,mmu-miR-200a-3p,-0.21,-0.21,0.34,"2005, 2007, 2009, 2011
"
Tshz3,ENSMUST00000021641.7,teashirt zinc finger family member 3 ,148,1,0,1,0,0,0,0,0,2,mmu-miR-141-3p,-0.21,-0.21,0.37,"2007, 2009, 2011
"
Zfp239,ENSMUST00000079405.9,zinc finger protein 239 ,99,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.21,0.37,"2009, 2011
"
Pcdh8,ENSMUST00000039568.5,protocadherin 8 ,9,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.21,-0.21,0.37,"2005, 2007, 2009, 2011
"
Ttbk2,ENSMUST00000057135.8,tau tubulin kinase 2 ,145,2,0,2,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.27,0.6,"2005, 2007, 2009, 2011
"
Stag1,ENSMUST00000129269.2,stromal antigen 1 ,570,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.21,-0.34,0.68,"2009, 2011
"
Psmd11,ENSMUST00000017572.8,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11 ",847,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.22,0.37,"
"
Dolpp1,ENSMUST00000028209.9,dolichyl pyrophosphate phosphatase 1 ,745,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.21,0.37,"2005, 2007, 2009, 2011
"
Rab30,ENSMUST00000032879.8,"RAB30, member RAS oncogene family ",202,1,0,0,1,2,0,2,0,2,mmu-miR-141-3p,-0.21,-0.35,0.58,"2005, 2007, 2009, 2011
"
Foxj1,ENSMUST00000036215.7,forkhead box J1 ,36,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.22,0.37,"2005, 2007, 2009, 2011
"
Gpr6,ENSMUST00000061796.6,G protein-coupled receptor 6 ,5,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.21,-0.21,0.37,"2005, 2007
"
Gcnt2,ENSMUST00000110191.3,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme ",49,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.21,-0.21,0.49,"2005, 2007, 2009, 2011
"
Tra2b,ENSMUST00000161286.2,transformer 2 beta homolog (Drosophila) ,6271,1,0,0,1,0,0,0,0,2,mmu-miR-200a-3p,-0.21,-0.25,0.34,"2007, 2009, 2011
"
Gigyf1,ENSMUST00000031727.7,GRB10 interacting GYF protein 1 ,621,2,1,1,0,0,0,0,0,0,mmu-miR-200a-3p,-0.21,-0.21,0.73,"2007, 2009, 2011
"
Pdcd4,ENSMUST00000074371.6,programmed cell death 4 ,3059,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.2,-0.21,0.37,"2005, 2007, 2009, 2011
"
